ID,Username,Email,User type,Role Id,Date Created
13,quan2,quan2@gmail.com,2,6,Tue Sep 19 2023 11:54:06 GMT+0700 (Indochina Time)
26,quan14,quan14@gmail.com,3,7,Thu Sep 21 2023 10:52:36 GMT+0700 (Indochina Time)
27,quan15,quan15@gmail.com,3,7,Mon Sep 25 2023 10:29:49 GMT+0700 (Indochina Time)
28,quan16,quan16@gmail.com,3,7,Tue Sep 26 2023 13:49:01 GMT+0700 (Indochina Time)
29,quan18,quan18@gmail.com,3,7,Tue Sep 26 2023 16:13:23 GMT+0700 (Indochina Time)
30,quan19,quan19@gmail.com,3,7,Wed Sep 27 2023 09:18:56 GMT+0700 (Indochina Time)
31,quan20,quan20@gmail.com,3,7,Thu Oct 05 2023 09:55:27 GMT+0700 (Indochina Time)
32,quan21,quan21@gmail.com,3,7,Tue Oct 10 2023 15:23:47 GMT+0700 (Indochina Time)
33,quan22,quan22@gmail.com,3,7,Thu Oct 12 2023 15:34:15 GMT+0700 (Indochina Time)
34,quan23,quan23@gmail.com,3,7,Thu Oct 12 2023 15:44:03 GMT+0700 (Indochina Time)
35,quan24,quan24@gmail.com,3,7,Thu Oct 12 2023 16:02:55 GMT+0700 (Indochina Time)
36,quan25,quan25@gmail.com,3,7,Thu Oct 12 2023 16:06:34 GMT+0700 (Indochina Time)
37,quan26,quan26@gmail.com,3,7,Thu Oct 12 2023 16:07:16 GMT+0700 (Indochina Time)
38,quan27,quan27@gmail.com,3,7,Thu Oct 12 2023 16:38:34 GMT+0700 (Indochina Time)
39,quan28,quan28@gmail.com,3,7,Fri Oct 13 2023 10:20:22 GMT+0700 (Indochina Time)
40,quan29,quan29@gmail.com,3,7,Fri Oct 13 2023 10:27:17 GMT+0700 (Indochina Time)
41,quan30,quan30@gmail.com,3,7,Fri Oct 13 2023 10:50:57 GMT+0700 (Indochina Time)
42,quan31,quan31@gmail.com,3,7,Fri Oct 13 2023 11:00:26 GMT+0700 (Indochina Time)
43,quan32,quan32@gmail.com,3,7,Fri Oct 13 2023 11:36:56 GMT+0700 (Indochina Time)
44,quan33,quan33@gmail.com,3,7,Fri Oct 13 2023 13:37:38 GMT+0700 (Indochina Time)
45,quan34,quan34@gmail.com,3,7,Thu Oct 26 2023 14:19:38 GMT+0700 (Indochina Time)
46,quan35,quan35@gmail.com,1,5,Thu Oct 26 2023 14:19:01 GMT+0700 (Indochina Time)
70,quan1,quan1@gmail.com,1,5,Fri Oct 27 2023 16:11:40 GMT+0700 (Indochina Time)
